id,updated,rating,version,author,title,content,vote_count
13379800839,2025-11-10T01:08:18-07:00,2,20.45.3,Greedy people bro,Look how they massacred my boy,"Ads, ads, ads, and ads. I would say it’s gotten ridiculous but it’s been ridiculous for years. Now it’s just gotten sad. Sad that I’m not shocked anymore when now I’m getting 60 second ads on a 3 SECOND video. Now we’ve even got ads for when you PAUSE THE VIDEO. If I went back in time to 2018 they’d laugh saying there’s no way anyone is that greedy. I refuse to pay for premium bro. Not gonna happen. 

Also we won’t forget. BRING BACK DISLIKES.",0
13379678689,2025-11-10T00:16:26-07:00,1,20.45.3,cheeseborgar,Corporate Greed,"Remember when ads were once every few videos. Now you get 2 unskippable ads,twice per video. Only way to stop this is to pay an unreasonable amount to an already billion dollar company. Your greedy will rot you from the inside.",0
13379618718,2025-11-09T23:50:28-07:00,1,20.45.3,chloe,Ads,Cool it with the advertising interruptions.,0
13379495580,2025-11-09T22:55:36-07:00,5,20.45.3,Aarzi khwahish 354,Everything is one app,"Very useful and Profitable for everyone,for every thing",0
13379474160,2025-11-09T22:45:57-07:00,2,20.45.3,Blucat96,Ads are out of control,"I really love YouTube, but this is ridiculous. More that 20 freaking ads on minute 45 of a hour long video. An ad every 1,5 minutes it’s just too much",2
13379461949,2025-11-09T22:40:23-07:00,1,20.45.3,IDKMYLIFE,ADS,"YOUTUBE USED TO BE GOOD UNTIL RECENTLY THEY DECIDED TO UP YHE AMOUNT OF ADS AND THE DURATION OF THEM IN AN ATTEMPT TO GET PEOPLE TO BUY THE PREMIUM, JUST GREEDY!",1
13379459879,2025-11-09T22:39:25-07:00,3,20.45.3,Admreevs,Too many ads,Fine app but there are too many ads. Don’t y’all make enough money?,1
13379430869,2025-11-09T22:26:15-07:00,4,20.45.3,friendsfriends,Love them,"Many make me cry, he stopped talking to me, I guess because I don’t have what he has.",0
13379418463,2025-11-09T22:20:37-07:00,1,20.45.3,SterlingRodriguez,Something went wrong,Please tap to try again,0
13379414970,2025-11-09T22:19:02-07:00,5,20.45.3,Yann Rothzz,Thank you,The best!!,0
13379410215,2025-11-09T22:16:52-07:00,1,20.45.3,elchapo1,Good,Gracias,0
13379381110,2025-11-09T22:03:26-07:00,1,19.17.2,GrandmaHitler,Requires IOS 16…,Requires IOS 16… that doesn’t exist yet,0
13379357451,2025-11-09T21:52:26-07:00,4,20.45.3,Keqi32,Playlist menu bug on iOS,"Playlist menu bug on iOS
After updating to YouTube 20.45.3 on iOS 18.7.2, the playlist menu no longer opens. When I tap the three-dot button, nothing happens — I can’t edit, delete, or reorder videos anymore. Please fix this in the next update!",0
13379283127,2025-11-09T21:17:49-07:00,5,20.45.3,Nephette,Amazing,"Heart felt, real.",0
